# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=326898250
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-28.9905,0.794975,1.29566,2,3,0,29.3803,-0.263629
-28.9905,0.500734,1.30541,1,1,0,29.57,-0.263629
-28.9581,1,0.708271,1,1,0,28.985,-0.289388
-29.5863,0.773112,1.099,1,1,0,29.5864,-0.0839431
-29.3493,1,1.05856,1,1,0,29.6302,-0.135505
-29.3493,0.437033,1.63115,1,1,0,29.4612,-0.135505
-29.382,0.999024,0.785087,2,7,0,29.3822,-0.551355
-29.357,1,1.2036,2,3,0,29.5141,-0.133624
-29.9059,0.532222,1.84067,1,1,0,30.7176,-0.0276502
-29.5827,1,1.08567,1,1,0,30.0081,-0.0846574
-29.1937,1,1.65384,1,1,0,29.2304,-0.500912
-29.1937,2.42261e-13,2.50865,1,1,0,29.6886,-0.500912
-28.9746,0.995165,0.51421,2,7,0,29.3244,-0.274991
-30.1507,0.79936,0.773677,1,3,0,30.4017,0.00937877
-30.5206,0.925215,0.787085,1,1,0,30.6861,0.0588673
-29.0257,1,1.02559,1,3,0,29.9896,-0.243209
-29.0257,0.315555,1.54325,1,1,0,29.6504,-0.243209
-28.9763,0.970051,0.608909,1,3,0,29.3977,-0.405308
-29.0748,0.96011,0.863186,1,3,0,29.2287,-0.220429
-29.4923,0.816553,1.19642,1,1,0,29.5571,-0.103051
-29.2431,0.622617,1.25439,2,3,0,30.239,-0.515546
-28.938,1,0.906816,1,3,0,29.1854,-0.362045
-28.938,0.819887,1.3496,1,1,0,29.0626,-0.362045
-28.988,0.966345,1.42203,1,1,0,28.9881,-0.26534
-28.988,1.71115e-05,1.97486,1,1,0,31.0167,-0.26534
-29.1511,0.98534,0.444229,1,3,0,29.2591,-0.191831
-29.6102,0.969441,0.640596,3,7,0,29.6745,-0.59967
-29.7071,0.778306,0.893892,2,3,0,31.6623,-0.617654
-28.9331,1,0.872192,1,3,0,29.6718,-0.343926
-28.9331,0.915434,1.28231,1,1,0,29.0037,-0.343926
-29.0474,0.904689,1.60816,1,1,0,29.0639,-0.232558
-28.946,1,1.97365,1,1,0,28.9983,-0.303412
-28.946,0.0486837,2.87755,1,1,0,29.1656,-0.303412
-29.4068,0.951267,0.741701,2,3,0,29.4077,-0.557112
-28.9413,0.96584,0.990858,2,3,0,29.5825,-0.310638
-28.933,1,1.35571,1,1,0,28.9364,-0.338102
-28.9889,0.929212,1.96724,1,1,0,29.0177,-0.264703
-28.9889,0.20873,2.50749,1,1,0,28.9905,-0.264703
-28.9448,0.993125,0.883397,2,3,0,29.039,-0.305046
-29.0274,0.966566,1.26272,2,3,0,29.0357,-0.242354
-29.0274,0.31195,1.71725,1,1,0,29.5381,-0.242354
-28.9858,0.994815,0.735443,2,3,0,29.0916,-0.266842
-29.2507,0.617144,1.0506,2,3,0,30.6293,-0.161268
-28.9918,1,0.77342,2,7,0,29.2034,-0.416157
-30.2028,0.642107,1.11154,2,3,0,30.6455,-0.695753
-30.6318,0.966279,0.856204,2,3,0,30.8554,-0.75156
-30.3885,1,1.15717,2,3,0,30.6131,0.0419351
-30.3885,0.0799506,1.65367,1,1,0,30.6653,0.0419351
-30.4497,0.99837,0.486135,2,3,0,30.5423,0.0498679
-30.2193,1,0.693108,1,1,0,30.5539,0.0190706
-29.0965,1,0.988361,1,1,0,29.8477,-0.211641
-29.0965,0.314651,1.40574,1,1,0,29.6671,-0.211641
-29.225,0.983081,0.625738,1,1,0,29.2251,-0.16864
-29.2294,0.998879,0.864131,1,1,0,29.3023,-0.16735
-29.2131,0.99516,1.2226,2,3,0,29.3664,-0.506819
-29.2131,0.00148122,1.71482,1,1,0,31.6793,-0.506819
-28.9448,0.981602,0.457511,1,3,0,29.6138,-0.373914
-29.5074,0.955779,0.628015,3,7,0,29.5756,-0.579104
-29.0343,0.940765,0.824143,1,3,0,29.9721,-0.238866
-29.0008,1,1.05306,2,3,0,29.0436,-0.257141
-29.0008,0.480569,1.48077,1,1,0,29.4479,-0.257141
-30.2944,0.833604,0.886404,2,3,0,30.464,-0.708372
-29.6026,1,0.947985,2,3,0,30.1914,-0.598195
-29.6026,0.596429,1.32883,1,3,0,30.288,-0.598195
-29.1497,1,0.965187,1,1,0,29.4809,-0.486675
-29.3142,0.903344,1.34978,1,1,0,29.4653,-0.534702
-28.9399,1,1.61156,1,1,0,29.0715,-0.365799
-28.9399,0.0779426,2.24497,1,1,0,29.0931,-0.365799
-29.4936,0.873957,0.712003,1,3,0,29.9736,-0.102771
-29.915,0.774966,0.811302,1,3,0,31.8,-0.652787
-29.8858,1,0.788942,2,7,0,29.9144,-0.0308886
-29.8858,0.419111,1.09677,1,1,0,31.409,-0.0308886
-29.1821,0.999755,0.606792,3,7,0,29.9238,-0.181693
-29.6682,0.889659,0.842121,1,1,0,29.6713,-0.0683995
-29.2694,0.646937,0.980879,2,3,0,31.9409,-0.156105
-28.9373,0.993594,0.780107,1,3,0,29.2921,-0.318536
-28.9373,0.403172,1.06813,1,3,0,31.4546,-0.318536
-28.933,0.999618,0.581618,1,3,0,28.9425,-0.339511
